provider_code,station_code,station_name,latitude,longitude,altitude_m
ana,73390000,UHE PASSO FUNDO MONTANTE,-27.9453,-52.5811,599
ana,73420080,UHE PASSO FUNDO BARRAMENTO,-27.5539,-52.7425,600
ana,73445000,UHE MONJOLINHO CRUZALTENSE,-27.6694,-52.5842,505
ana,73528000,PCH RIO DOS INDIOS JUSANTE,-27.2456,-52.7944,342
ana,73552000,PCH CONTESTADO PONTE BR - 153,-26.6822,-51.5617,1188
ana,73553000,PCH CONTESTADO RIO ROSEIRA,-26.7019,-51.6050,1195
ana,73570000,PCH CORONEL ARAUJO JUSANTE,-26.6767,-51.7575,1120
ana,73582000,PCH RONDINHA BARRAMENTO,-26.6808,-52.0442,876
ana,73582900,PCH LUDESA MONTANTE,-26.6264,-52.2267,783
ana,73620000,PCH SALTO SANTO ANTONIO BARRAMENTO,-26.6992,-51.8247,1073
ana,73674500,CGH FLOR DO MATO BARRAMENTO,-26.8489,-51.8753,972
ana,73680900,PCH PONTE SERRADA BARRAMENTO,-26.7717,-52.0342,0
ana,73690030,PCH CELSO RAMOS MONTANTE,-26.7758,-52.0422,805
ana,73693800,PCH PASSO FERRAZ JUSANTE,-26.7528,-52.3842,640
ana,73770000,PORTO FAE NOVO,-26.8175,-52.7344,317
ana,73819000,PCH CORACAO BARRAMENTO,-26.8544,-52.9006,320
ana,73892000,PCH BARRA ESCONDIDA JUSANTE,-26.9044,-53.0303,300
ana,73900000,SAUDADES,-26.9244,-53.0089,263
ana,73960000,BARRA DO CHAPECO AUX.,-27.0419,-52.9544,232
ana,74100000,IRAI,-27.1756,-53.2297,200
ana,74120700,CGH MATA COBRA MONTANTE 2,-28.2472,-52.8011,0
ana,74120900,CGH MATA COBRA BARRAMENTO,-28.1031,-53.0147,0
ana,74200500,PCH GARCA BRANCA MONTANTE,-26.5406,-53.4375,362
ana,74201000,PCH RONCADOR BARRAMENTO,-26.4628,-53.3164,577
ana,74295000,LINHA JATAI,-27.0133,-53.2953,242
ana,74300000,GUATAPARA DE BAIXO,-26.5881,-53.4536,318
ana,74315000,PCH FLOR DO SERTAO SAO JORGE,-26.7219,-53.3756,280
ana,74320000,PONTE DO SARGENTO,-26.6822,-53.2861,0
ana,74322000,PCH FLOR DO SERTAO LINHA AZUL,-26.7139,-53.3175,275
ana,74322200,PCH AMBAR JUSANTE,-26.7511,-53.3522,284
ana,74329000,ITAPIRANGA,-27.1717,-53.7097,162
ana,74340000,PCH GUARITA BARRAMENTO JOAO AMADO,-27.7653,-53.5575,480
ana,74350000,PCH GUARITA BARRAMENTO,-27.6139,-53.5714,410
ana,74351000,PCH FERRADURA JUSANTE,-27.5589,-53.5764,298
ana,74360080,CGH RIO FORTALEZA BARRAMENTO,-27.4736,-53.4578,2
ana,74370010,CPRM - RIO GUARITA PALMITINHO,-27.3328,-53.6444,0
ana,74423080,CGH BELMONTE BARRAMENTO,-26.8347,-53.6658,259
ana,74468500,PCH TOCA DO TIGRE JUSANTE,-27.5353,-53.8150,319
ana,74470000,TRES PASSOS,-27.3922,-53.8808,240
ana,74500000,ALTO URUGUAI,-27.3019,-54.1397,119
ana,74549990,CGH BURICA BARRAMENTO,-27.8969,-54.1072,281
ana,74690001,CGH SANTA ROSA BARRAMENTO,-27.7714,-54.3889,182
ana,74720000,PORTO MAUA,-27.5781,-54.6831,100
ana,74800000,PORTO LUCENA,-27.8525,-55.0256,83
ana,75050000,PCH JOSE BARASUOL MONTANTE,-28.2739,-53.6486,0
ana,75060000,CGH CAXAMBU BARRAMENTO,-28.3969,-53.4583,427
ana,75155010,PCH PASSO DO AJURICABA MONTANTE,-28.2869,-53.7803,299
ana,75175100,PCH SEDE II MONTANTE,-28.4008,-53.8283,0
ana,75186900,PCH LINHA ONZE OESTE JUSANTE,-28.3558,-54.0464,0
ana,75187000,PCH JOSE BARASUOL RIO POTIRIBU,-28.3603,-53.9008,0
ana,75199000,CGH AUGUSTO PESTANA BARRAMENTO,-28.4864,-53.9503,0
ana,75230000,SANTO ANGELO,-28.3553,-54.2675,189
ana,75270000,PCH IJUIZINHO PONTE QUEIMADA,-28.7778,-53.9817,365
ana,75287000,PCH IJUIZINHO MONTANTE,-28.5433,-54.1553,0
ana,75288000,PCH IJUIZINHO BARRAMENTO,-28.4417,-54.2886,234
ana,75290000,PCH IJUIZINHO CERMISSOES MONTANTE,-28.4122,-54.3025,200
ana,75307000,UHE SAO JOSE ARROIO URUQUA,-28.2925,-54.6967,170
ana,75331000,UHE PASSO SAO JOAO JAMES,-28.2069,-54.8697,0
ana,75342000,UHE PASSO SAO JOAO BARRAMENTO,-28.1325,-55.0517,0
ana,75344000,UHE PASSO SAO JOAO JUSANTE,-28.1239,-55.0533,0
ana,75500000,PASSO DO SARMENTO,-28.2119,-55.3197,0
ana,75550000,GARRUCHOS,-28.1822,-55.6433,54
ana,75650010,PROP. RURAL ITACURUBI (CPRM),-28.7425,-55.1625,0
ana,75780000,PASSO SAO BORJA,-28.6244,-56.0369,47
ana,75831000,PASSO BUTUI BR 472 S. BORJA,-28.8531,-56.0861,0
ana,75881800,PCH RINCAO BARRAMENTO,-28.4208,-54.2978,216
ana,75900000,ITAQUI,-29.1175,-56.5544,42
ana,76069500,PCH QUEBRA DENTES MONTANTE 1,-29.2661,-53.9483,333
ana,76070500,PCH QUEBRA DENTES JUSANTE,-29.3897,-54.0189,220
ana,76112000,PCH SALTO DO GUASSUPI ARROIO SOCAVAO,-29.4578,-54.1278,140
ana,76115400,PCH SALTO DO GUASSUPI MONTANTE,-29.4017,-53.9408,302
ana,76115800,PCH SALTO DO GUASSUPI RIO TOROPI MIRIM,-29.4611,-54.1942,565
ana,76220900,PASSO DA FERRARIA,-31.1417,-54.3806,0
ana,76251000,DOM PEDRITO,-30.9703,-54.6933,130
ana,76300000,PONTE IBICUI DA ARMADA,-30.2808,-54.9031,80
ana,76310000,ROSARIO DO SUL,-30.2428,-54.9169,82
ana,76560000,MANOEL VIANA,-29.5958,-55.4814,61
ana,76742000,PASSO DO OSORIO,-29.9511,-55.6003,100
ana,76750000,ALEGRETE,-29.7683,-55.7875,66
ana,76800000,PASSO MARIANO PINTO,-29.3092,-56.0553,50
ana,77150000,URUGUAIANA,-29.7486,-57.0886,38
